Date,Temperature,Humidity,WindSpeed,Precipitation,Condition
2024-01-01,14,62,,,Sunny
2024-01-02,16,58,10,,Sunny
2024-01-03,12,71,,,Rain
2024-01-04,13,68,9,,Cloudy
2024-01-05,15,64,8,0,Sunny
2024-01-06,17,59,6,0,Sunny
2024-01-07,18,56,7,0,Sunny
2024-01-08,16,65,8,1,Cloudy
2024-01-09,14,70,10,3,Rain
2024-01-10,13,73,12,5,Rain
2024-01-11,15,66,9,0,Cloudy
2024-01-12,17,60,7,0,Sunny
2024-01-13,19,58,8,0,Sunny
2024-01-14,18,62,9,0,Sunny
2024-01-15,16,67,10,1,Cloudy
2024-01-16,14,74,11,4,Rain
2024-01-17,13,76,12,6,Rain
2024-01-18,15,69,8,0,Cloudy
2024-01-19,17,63,7,0,Sunny
2024-01-20,18,60,8,0,Sunny
2024-01-21,20,55,9,0,Sunny
2024-01-22,19,58,7,0,Sunny
2024-01-23,18,61,8,0,Sunny
2024-01-24,17,65,10,1,Cloudy
2024-01-25,15,72,11,3,Rain
2024-01-26,14,75,12,5,Rain
2024-01-27,16,68,8,0,Cloudy
2024-01-28,18,62,7,0,Sunny
2024-01-29,19,59,9,0,Sunny
2024-01-30,20,57,8,0,Sunny
